target	tm_af_relaxed	tm_af_unrelaxed	tm_boltz	tm_amber_af	tm_amber_boltz	mp_af_relaxed	mp_af_unrelaxed	mp_boltz	mp_amber_af	mp_amber_boltz	clash_af_relaxed	clash_af_unrelaxed	clash_boltz	clash_amber_af	clash_amber_boltz	best_tm_source	best_tm_value	best_mp_source	best_mp_value	amber_af_tm_delta	amber_af_mp_delta	amber_boltz_tm_delta	amber_boltz_mp_delta
4G6M	0.9606	0.9651	0.9610	0.9605	0.9605	0.9960	1.7220	1.2200	1.0260	0.4960	3.2180	32.0280	14.4960	3.2400	1.8840	af_unrelaxed	0.9651	amber_boltz	0.4960	-0.0045	-0.6960	-0.0006	-0.7240
4GAM	0.9857	0.9858	0.9870	0.9857	0.9869	0.6280	1.4960	1.3040	0.6320	0.7200	1.7600	19.4200	20.1080	1.7300	2.5525	boltz	0.9870	af_relaxed	0.6280	-0.0001	-0.8640	-0.0001	-0.5840
4GXU	0.9813	0.9822	0.8971	0.9811	0.8969	1.0660	1.7140	1.3100	1.0240	0.5740	4.5240	24.3000	20.3540	3.7300	1.8800	af_unrelaxed	0.9822	amber_boltz	0.5740	-0.0011	-0.6900	-0.0002	-0.7360
4H03	0.9975	0.9976	0.9541	0.9974	0.9541	0.4900	1.3380	1.1600	0.4840	0.4040	2.0000	17.6740	14.4420	1.9840	1.6120	af_unrelaxed	0.9976	amber_boltz	0.4040	-0.0002	-0.8540	-0.0001	-0.7560
4HX3	0.9809	0.9817	0.9828	0.9809	0.9829	1.3720	1.9920	1.3820	1.2260	0.5440	6.9840	35.9940	18.4440	6.2860	1.4780	amber_boltz	0.9829	amber_boltz	0.5440	-0.0008	-0.7660	0.0002	-0.8380
4IZ7	0.9770	0.9772	0.9734	0.9770	0.9734	0.5940	1.3620	1.1440	0.5840	0.3000	1.7760	19.7760	13.7620	1.8300	0.9300	af_unrelaxed	0.9772	amber_boltz	0.3000	-0.0002	-0.7780	-0.0000	-0.8440
4JCV	0.9223	0.9222	0.7978	0.9224	0.7977	0.8060	1.7280	1.3800	0.8420	0.6240	2.6280	29.8900	25.9480	2.6720	3.4540	amber_af	0.9224	amber_boltz	0.6240	0.0001	-0.8860	-0.0001	-0.7560
4LW4	0.9860	0.9860	0.9820	0.9861	0.9819	0.7560	1.6000	1.1800	0.7660	0.4960	2.4920	21.5600	13.1840	2.5760	1.1600	amber_af	0.9861	amber_boltz	0.4960	0.0000	-0.8340	-0.0001	-0.6840
4M3K	0.9890	0.9902	0.9915	0.9889	0.9913	1.2180	1.7120	1.1640	1.2100	0.4960	7.4780	38.3960	12.1620	7.0620	1.1080	boltz	0.9915	amber_boltz	0.4960	-0.0013	-0.5020	-0.0002	-0.6680
4M5Z	0.9669	0.9664	0.9682	0.9669	0.9684	0.6960	1.5580	1.1340	0.7000	0.3820	2.7400	26.7000	13.4560	2.8840	1.2580	amber_boltz	0.9684	amber_boltz	0.3820	0.0005	-0.8580	0.0002	-0.7520
4M76	0.9934	0.9942	0.9875	0.9934	0.9875	0.9640	1.4900	1.2820	1.0900	0.5780	4.4940	26.2580	15.5780	8.3540	2.0380	af_unrelaxed	0.9942	amber_boltz	0.5780	-0.0008	-0.4000	-0.0000	-0.7040
4POU	0.9404	0.9409	0.9350	0.9404	0.9346	1.1080	1.8980	1.1260	1.1580	0.3840	6.6400	39.3360	12.2300	6.5840	1.1740	af_unrelaxed	0.9409	amber_boltz	0.3840	-0.0006	-0.7400	-0.0004	-0.7420
4Y7M	0.9588	0.9607	0.9594	0.9589	0.9593	1.2680	1.9980	1.1900	1.2820	0.4680	5.5560	40.5340	15.5000	5.4840	1.4140	af_unrelaxed	0.9607	amber_boltz	0.4680	-0.0018	-0.7160	-0.0001	-0.7220
5C7X	0.9573	0.9581	0.9687	0.9574	0.9682	0.7820	1.6680	0.9460	0.8260	0.2020	4.7460	32.9220	8.2300	4.6960	0.6200	boltz	0.9687	amber_boltz	0.2020	-0.0006	-0.8420	-0.0005	-0.7440
5CBA	0.9594	0.9592	0.9562	0.9595	0.9558	0.6920	1.4920	1.2440	0.5720	0.4240	3.1980	27.4080	17.5860	2.3660	1.2280	amber_af	0.9595	amber_boltz	0.4240	0.0002	-0.9200	-0.0003	-0.8200
5E5M	0.9411	0.9415	0.9560	0.9411	0.9552	1.4740	2.2840	1.1560	1.5520	0.3380	8.2840	52.1120	14.2220	9.0480	1.1760	boltz	0.9560	amber_boltz	0.3380	-0.0005	-0.7320	-0.0008	-0.8180
5GRJ	0.8405	0.8421	0.9514	0.8405	0.9512	1.3800	2.0680	1.0640	1.3620	0.4740	8.1900	40.7520	10.0640	7.7760	0.8300	boltz	0.9514	amber_boltz	0.4740	-0.0016	-0.7060	-0.0003	-0.5900
5HGG	0.9931	0.9931	0.9939	0.9932	0.9938	1.3180	1.9340	1.0700	1.3900	0.4600	6.7100	38.3520	11.5220	6.8480	1.3700	boltz	0.9939	amber_boltz	0.4600	0.0000	-0.5440	-0.0000	-0.6100
5HYS	0.8904	0.8902	0.9167	0.8904	0.9169	0.8160	1.6680	1.2060	0.7860	0.5900	3.2220	29.0580	15.7260	3.2420	2.2140	amber_boltz	0.9169	amber_boltz	0.5900	0.0002	-0.8820	0.0002	-0.6160
5JMO	0.9939	0.9940	0.9925	0.9938	0.9924	1.0720	1.7700	1.3220	1.0540	0.6720	5.1960	28.3440	14.6560	4.9900	1.9000	af_unrelaxed	0.9940	amber_boltz	0.6720	-0.0002	-0.7160	-0.0001	-0.6500
5KOV	0.9674	0.9684	0.9387	0.9677	0.9385	0.9080	1.7260	1.4280	1.2200		2.8660	26.3840	23.8220	4.4500		af_unrelaxed	0.9684	af_relaxed	0.9080	-0.0006	-0.5060	-0.0002	
5O14	0.9867	0.9894	0.9762	0.9863	0.9755	1.0720	1.7340	0.8500	0.6500		6.1560	31.7100	6.3760	1.7000		af_unrelaxed	0.9894	amber_af	0.6500	-0.0031	-1.0840	-0.0007	
5O1R	0.9547	0.9552	0.8964	0.9547	0.8954	0.3620	1.3500	1.0100	0.3400		1.2960	16.0080	9.7420	1.2480		af_unrelaxed	0.9552	amber_af	0.3400	-0.0005	-1.0100	-0.0010	
5SV3	0.9770	0.9777	0.9870	0.9770	0.9867	0.7300	1.4640	1.0580	0.6980	0.2920	3.1400	21.8940	11.2160	3.2280	1.0300	boltz	0.9870	amber_boltz	0.2920	-0.0007	-0.7660	-0.0003	-0.7660
5VNW	0.8394	0.8405	0.8311	0.8394	0.8311	1.3460	1.7560	1.1460	2.2800		7.7040	38.3500	13.8540	21.0300		af_unrelaxed	0.8405	boltz	1.1460	-0.0010	0.5240	0.0000	
5WHK	0.7799	0.7804	0.9493	0.7800	0.9493	1.0740	1.8280	1.0900			5.1120	31.8240	11.8375			boltz	0.9493	af_relaxed	1.0740	-0.0004		-0.0000	
5WK3	0.9133	0.9102	0.9342	0.9131	0.9341	0.6340	1.3680	1.1060	0.6240	0.5500	3.0960	23.0080	12.5700	2.9380	2.2500	boltz	0.9342	amber_boltz	0.5500	0.0029	-0.7440	-0.0001	-0.5560
5WUX	0.9565	0.9592	0.9525	0.9570	0.9518	1.0700	1.8300	1.2500	1.1400		5.2960	34.1520	17.5360	5.2200		af_unrelaxed	0.9592	af_relaxed	1.0700	-0.0023	-0.6900	-0.0007	
5X0T	0.9872	0.9870	0.9812	0.9872	0.9811	0.5760	1.3980	0.8940	0.6220	0.1000	2.9500	22.8580	7.3380	2.7420	0.2600	af_relaxed	0.9872	amber_boltz	0.1000	0.0002	-0.7760	-0.0001	-0.7940
5Y9J	0.9888	0.9892	0.9665	0.9889	0.9666	0.9240	1.7680	1.1740	0.9075		3.2620	26.5640	14.8700	2.9125		af_unrelaxed	0.9892	amber_af	0.9075	-0.0003	-0.8605	0.0000	
6A0Z	0.9811	0.9815	0.9814	0.9812	0.9812	0.8550					3.1600					af_unrelaxed	0.9815	af_relaxed	0.8550	-0.0003		-0.0002	
6A77	0.9350	0.9344	0.9294	0.9350	0.9294	0.4900					1.9300					amber_af	0.9350	af_relaxed	0.4900	0.0006		-0.0000	
6AL0	0.5606	0.5604	0.6079	0.5606	0.6081	0.5500					1.7100					amber_boltz	0.6081	af_relaxed	0.5500	0.0002		0.0001	
6B0S	0.8588	0.8530	0.9244	0.8586	0.9234	0.2600					0.8200					boltz	0.9244	af_relaxed	0.2600	0.0056		-0.0010	
6BPC	0.9882	0.9889	0.9752	0.9883	0.9749	0.3800					1.4200					af_unrelaxed	0.9889	af_relaxed	0.3800	-0.0007		-0.0003	
6CWG	0.9923	0.9930	0.9777	0.9922	0.9774	0.4425					1.8475					af_unrelaxed	0.9930	af_relaxed	0.4425	-0.0008		-0.0002	
6DBG	0.9905	0.9911	0.9898	0.9906	0.9896	1.2025					5.5875					af_unrelaxed	0.9911	af_relaxed	1.2025	-0.0005		-0.0002	
6EY6	0.8478	0.8483	0.8604	0.8476	0.8602	0.8725					3.6200					boltz	0.8604	af_relaxed	0.8725	-0.0007		-0.0001	
6OC3	0.9492	0.9498	0.9329	0.9492	0.9325	0.7250					3.3350					af_unrelaxed	0.9498	af_relaxed	0.7250	-0.0006		-0.0003	
7CEI	0.9883	0.9885	0.9782	0.9883	0.9782	0.4120	1.2620	0.8880	0.4180	0.1860	1.4600	18.4520	7.1800	1.5180	0.3480	af_unrelaxed	0.9885	amber_boltz	0.1860	-0.0002	-0.8440	0.0000	-0.7020
BAAD	0.5412	0.5414	0.4916	0.5412	0.4913	0.5420	1.6860	1.2940	0.5420	0.7760	1.0420	17.9240	19.9780	1.0980	4.3080	af_unrelaxed	0.5414	af_relaxed	0.5420	-0.0002	-1.1440	-0.0003	-0.5180
BOYV	0.9970	0.9972	0.9974	0.9970	0.9973	1.0540	1.8800	1.0960	1.0360	0.3120	4.9520	35.2160	11.4460	4.8000	0.6460	boltz	0.9974	amber_boltz	0.3120	-0.0001	-0.8440	-0.0001	-0.7840
BP57	0.9510	0.9514	0.9207	0.9509	0.9203	1.0920	1.9080	1.4440	0.9560	0.8460	4.3460	28.4860	25.4720	2.6060	3.8500	af_unrelaxed	0.9514	amber_boltz	0.8460	-0.0005	-0.9520	-0.0004	-0.5980
CP57	0.9463	0.9474	0.9335	0.9461	0.9327	1.1920	1.8520	1.3580	1.0400	0.6740	4.1580	25.3760	18.7020	3.8480	2.1100	af_unrelaxed	0.9474	amber_boltz	0.6740	-0.0013	-0.8120	-0.0008	-0.6840
